drug_name	drug_id	disease_name	disease_mondo_id	fda_date	distance	expected_distance	random_mean	random_std	ci_lo	ci_hi	p_raw	p_bonferroni	n_permutations	methodology
Ropeginterferon alfa-2b-njft	DB15119	Acquired polycythemia vera	9891	2021-11-12	1	1	3.50	0.81	2.0	5.0	0.000000	NA_direct_edge	1000	1000 non-indicated diseases sampled per drug
Tirzepatide	DB15171	Type 2 diabetes mellitus	5148	2022-05-13	2	2	3.46	0.78	2.0	5.0	0.069000	0.690000	1000	Bonferroni n=10
Tezepelumab-ekko	DB15090	Asthma	4979	2021-12-17	2	2	3.72	0.79	3.0	5.0	0.017000	0.170000	1000	Bonferroni n=10
Tapinarof	DB06083	Psoriasis	5083	2022-05-24	2	2	3.98	0.76	3.0	6.0	0.016000	0.160000	1000	Bonferroni n=10
Faricimab-svoa	DB15303	Macular degeneration	11285_13406_12767_12540_7932_14189_3004_5150_5417_14207_12659_14266_13420_13409_12419_13416_12674_100114	2022-01-28	2	2	4.18	0.73	3.0	6.0	0.012000	0.120000	1000	Bonferroni n=10
Inclisiran	DB14901	Familial hypercholesterolemia	11374_7750_5439	2021-12-22	2	2	4.63	0.76	4.0	6.0	0.000000	0.000000	1000	Bonferroni n=10
Maribavir	DB06234	Cytomegalovirus infection	5132	2021-11-23	3	3	4.42	0.79	3.0	6.0	0.084000	0.840000	1000	Bonferroni n=10
Belzutifan	DB15463	Von Hippel-Lindau disease	8667	2021-08-13	3	3	4.52	0.75	3.0	6.0	0.046000	0.460000	1000	Bonferroni n=10
Ganaxolone	DB05087	CDKL5 disorder	100039	2022-03-18	3	3	4.30	0.78	3.0	6.0	0.114000	1.000000	1000	Bonferroni n=10
Pacritinib	DB11697	Primary myelofibrosis	9692	2022-02-28	3	3	3.87	0.82	3.0	6.0	0.345000	1.000000	1000	Bonferroni n=10
Tralokinumab-ldrm	DB12169	Atopic dermatitis	11596_11597_11598_11608_11609_13107_13294_13295	2021-12-27	3	3	3.72	0.79	3.0	5.0	0.428000	1.000000	1000	Bonferroni n=10
